subject,pipeline,group,fold,accuracy,auc,best_params,fit_seconds_total
1,classical/FBCSP+LDA,classical,0,0.4444444444444444,0.5,"{""perband__base__csp__nfilter"": 2}",68.0165683999985
1,classical/FBCSP+LDA,classical,1,0.7777777777777778,0.8,"{""perband__base__csp__nfilter"": 4}",68.0165683999985
1,classical/FBCSP+LDA,classical,2,0.7777777777777778,0.8,"{""perband__base__csp__nfilter"": 2}",68.0165683999985
1,classical/FBCSP+LDA,classical,3,0.6666666666666666,0.8,"{""perband__base__csp__nfilter"": 4}",68.0165683999985
1,classical/FBCSP+LDA,classical,4,0.6666666666666666,0.7,"{""perband__base__csp__nfilter"": 2}",68.0165683999985
1,classical/FBCSP+LDA,classical,5,0.7777777777777778,0.95,"{""perband__base__csp__nfilter"": 2}",68.0165683999985
1,classical/FBCSP+LDA,classical,6,0.6666666666666666,0.65,"{""perband__base__csp__nfilter"": 2}",68.0165683999985
1,classical/FBCSP+LDA,classical,7,0.5555555555555556,0.7,"{""perband__base__csp__nfilter"": 4}",68.0165683999985
1,classical/FBCSP+LDA,classical,8,0.6666666666666666,0.6499999999999999,"{""perband__base__csp__nfilter"": 4}",68.0165683999985
1,classical/FBCSP+LDA,classical,9,0.7777777777777778,0.8500000000000001,"{""perband__base__csp__nfilter"": 2}",68.0165683999985
1,classical/FBCSP+LDA,classical,10,0.6666666666666666,0.85,"{""perband__base__csp__nfilter"": 4}",68.0165683999985
1,classical/FBCSP+LDA,classical,11,0.8888888888888888,0.8,"{""perband__base__csp__nfilter"": 2}",68.0165683999985
1,classical/FBCSP+LDA,classical,12,0.8888888888888888,0.8500000000000001,"{""perband__base__csp__nfilter"": 2}",68.0165683999985
1,classical/FBCSP+LDA,classical,13,0.3333333333333333,0.0999999999999999,"{""perband__base__csp__nfilter"": 6}",68.0165683999985
1,classical/FBCSP+LDA,classical,14,0.6666666666666666,0.9,"{""perband__base__csp__nfilter"": 4}",68.0165683999985
1,classical/FB-TS+LR,classical,0,0.2222222222222222,0.45,"{""clf__C"": 0.1}",75.77212589999908
1,classical/FB-TS+LR,classical,1,0.5555555555555556,0.75,"{""clf__C"": 10.0}",75.77212589999908
1,classical/FB-TS+LR,classical,2,0.5555555555555556,0.7,"{""clf__C"": 0.1}",75.77212589999908
1,classical/FB-TS+LR,classical,3,0.4444444444444444,0.65,"{""clf__C"": 0.1}",75.77212589999908
1,classical/FB-TS+LR,classical,4,0.6666666666666666,0.8,"{""clf__C"": 0.1}",75.77212589999908
1,classical/FB-TS+LR,classical,5,0.5555555555555556,0.5,"{""clf__C"": 0.1}",75.77212589999908
1,classical/FB-TS+LR,classical,6,0.5555555555555556,0.85,"{""clf__C"": 0.1}",75.77212589999908
1,classical/FB-TS+LR,classical,7,0.5555555555555556,0.75,"{""clf__C"": 0.1}",75.77212589999908
1,classical/FB-TS+LR,classical,8,0.7777777777777778,0.7000000000000001,"{""clf__C"": 0.1}",75.77212589999908
1,classical/FB-TS+LR,classical,9,0.7777777777777778,0.65,"{""clf__C"": 0.1}",75.77212589999908
1,classical/FB-TS+LR,classical,10,0.7777777777777778,0.8500000000000001,"{""clf__C"": 0.1}",75.77212589999908
1,classical/FB-TS+LR,classical,11,0.6666666666666666,0.6499999999999999,"{""clf__C"": 1.0}",75.77212589999908
1,classical/FB-TS+LR,classical,12,0.7777777777777778,0.95,"{""clf__C"": 1.0}",75.77212589999908
1,classical/FB-TS+LR,classical,13,0.3333333333333333,0.3,"{""clf__C"": 0.1}",75.77212589999908
1,classical/FB-TS+LR,classical,14,0.5555555555555556,0.75,"{""clf__C"": 0.1}",75.77212589999908
1,classical/FB-TS+RBF-SVM,classical,0,0.2222222222222222,0.3,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",117.98846140000023
1,classical/FB-TS+RBF-SVM,classical,1,0.7777777777777778,0.8500000000000001,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",117.98846140000023
1,classical/FB-TS+RBF-SVM,classical,2,0.5555555555555556,0.6,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",117.98846140000023
1,classical/FB-TS+RBF-SVM,classical,3,0.4444444444444444,0.6,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",117.98846140000023
1,classical/FB-TS+RBF-SVM,classical,4,0.6666666666666666,0.8,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",117.98846140000023
1,classical/FB-TS+RBF-SVM,classical,5,0.4444444444444444,0.4,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",117.98846140000023
1,classical/FB-TS+RBF-SVM,classical,6,0.4444444444444444,0.6000000000000001,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",117.98846140000023
1,classical/FB-TS+RBF-SVM,classical,7,0.6666666666666666,0.7000000000000001,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",117.98846140000023
1,classical/FB-TS+RBF-SVM,classical,8,0.7777777777777778,0.6500000000000001,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",117.98846140000023
1,classical/FB-TS+RBF-SVM,classical,9,0.6666666666666666,0.65,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",117.98846140000023
1,classical/FB-TS+RBF-SVM,classical,10,0.6666666666666666,0.7,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",117.98846140000023
1,classical/FB-TS+RBF-SVM,classical,11,0.6666666666666666,0.8,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",117.98846140000023
1,classical/FB-TS+RBF-SVM,classical,12,0.8888888888888888,0.95,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",117.98846140000023
1,classical/FB-TS+RBF-SVM,classical,13,0.5555555555555556,0.35,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",117.98846140000023
1,classical/FB-TS+RBF-SVM,classical,14,0.6666666666666666,0.85,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",117.98846140000023
1,quantum/FB-HS-overlap-SVM,quantum,0,0.4444444444444444,0.4499999999999999,"{""clf__C"": 0.1}",49.92792510000072
1,quantum/FB-HS-overlap-SVM,quantum,1,0.4444444444444444,0.45,"{""clf__C"": 10.0}",49.92792510000072
1,quantum/FB-HS-overlap-SVM,quantum,2,0.3333333333333333,0.35,"{""clf__C"": 10.0}",49.92792510000072
1,quantum/FB-HS-overlap-SVM,quantum,3,0.6666666666666666,0.5,"{""clf__C"": 10.0}",49.92792510000072
1,quantum/FB-HS-overlap-SVM,quantum,4,0.4444444444444444,0.5,"{""clf__C"": 10.0}",49.92792510000072
1,quantum/FB-HS-overlap-SVM,quantum,5,0.2222222222222222,0.35,"{""clf__C"": 10.0}",49.92792510000072
1,quantum/FB-HS-overlap-SVM,quantum,6,0.5555555555555556,0.8,"{""clf__C"": 10.0}",49.92792510000072
1,quantum/FB-HS-overlap-SVM,quantum,7,0.7777777777777778,0.85,"{""clf__C"": 0.1}",49.92792510000072
1,quantum/FB-HS-overlap-SVM,quantum,8,0.4444444444444444,0.55,"{""clf__C"": 10.0}",49.92792510000072
1,quantum/FB-HS-overlap-SVM,quantum,9,0.6666666666666666,0.4,"{""clf__C"": 0.1}",49.92792510000072
1,quantum/FB-HS-overlap-SVM,quantum,10,0.4444444444444444,0.4,"{""clf__C"": 0.1}",49.92792510000072
1,quantum/FB-HS-overlap-SVM,quantum,11,0.4444444444444444,0.4,"{""clf__C"": 10.0}",49.92792510000072
1,quantum/FB-HS-overlap-SVM,quantum,12,0.6666666666666666,0.6,"{""clf__C"": 0.1}",49.92792510000072
1,quantum/FB-HS-overlap-SVM,quantum,13,0.3333333333333333,0.3,"{""clf__C"": 10.0}",49.92792510000072
1,quantum/FB-HS-overlap-SVM,quantum,14,0.3333333333333333,0.1,"{""clf__C"": 10.0}",49.92792510000072
1,quantum/FB-HS-overlap-ref-SVM,quantum,0,0.4444444444444444,0.6,"{""clf__C"": 10.0}",56.249966700001096
1,quantum/FB-HS-overlap-ref-SVM,quantum,1,0.7777777777777778,0.8500000000000001,"{""clf__C"": 10.0}",56.249966700001096
1,quantum/FB-HS-overlap-ref-SVM,quantum,2,0.8888888888888888,0.8500000000000001,"{""clf__C"": 10.0}",56.249966700001096
1,quantum/FB-HS-overlap-ref-SVM,quantum,3,0.6666666666666666,0.8,"{""clf__C"": 10.0}",56.249966700001096
1,quantum/FB-HS-overlap-ref-SVM,quantum,4,0.8888888888888888,0.9,"{""clf__C"": 10.0}",56.249966700001096
1,quantum/FB-HS-overlap-ref-SVM,quantum,5,0.4444444444444444,0.7,"{""clf__C"": 10.0}",56.249966700001096
1,quantum/FB-HS-overlap-ref-SVM,quantum,6,1.0,1.0,"{""clf__C"": 10.0}",56.249966700001096
1,quantum/FB-HS-overlap-ref-SVM,quantum,7,0.6666666666666666,0.65,"{""clf__C"": 10.0}",56.249966700001096
1,quantum/FB-HS-overlap-ref-SVM,quantum,8,0.7777777777777778,0.7000000000000001,"{""clf__C"": 10.0}",56.249966700001096
1,quantum/FB-HS-overlap-ref-SVM,quantum,9,0.8888888888888888,1.0,"{""clf__C"": 10.0}",56.249966700001096
1,quantum/FB-HS-overlap-ref-SVM,quantum,10,0.8888888888888888,0.95,"{""clf__C"": 10.0}",56.249966700001096
1,quantum/FB-HS-overlap-ref-SVM,quantum,11,0.7777777777777778,0.8,"{""clf__C"": 10.0}",56.249966700001096
1,quantum/FB-HS-overlap-ref-SVM,quantum,12,0.7777777777777778,0.95,"{""clf__C"": 10.0}",56.249966700001096
1,quantum/FB-HS-overlap-ref-SVM,quantum,13,0.5555555555555556,0.4,"{""clf__C"": 10.0}",56.249966700001096
1,quantum/FB-HS-overlap-ref-SVM,quantum,14,0.8888888888888888,1.0,"{""clf__C"": 10.0}",56.249966700001096
1,quantum/FB-Fidelity-SVM,quantum,0,0.4444444444444444,0.45,"{""clf__C"": 10.0}",61.00193490000311
1,quantum/FB-Fidelity-SVM,quantum,1,0.4444444444444444,0.4999999999999999,"{""clf__C"": 0.1}",61.00193490000311
1,quantum/FB-Fidelity-SVM,quantum,2,0.3333333333333333,0.2999999999999999,"{""clf__C"": 0.1}",61.00193490000311
1,quantum/FB-Fidelity-SVM,quantum,3,0.4444444444444444,0.5,"{""clf__C"": 0.1}",61.00193490000311
1,quantum/FB-Fidelity-SVM,quantum,4,0.3333333333333333,0.25,"{""clf__C"": 0.1}",61.00193490000311
1,quantum/FB-Fidelity-SVM,quantum,5,0.4444444444444444,0.2,"{""clf__C"": 0.1}",61.00193490000311
1,quantum/FB-Fidelity-SVM,quantum,6,0.4444444444444444,0.75,"{""clf__C"": 0.1}",61.00193490000311
1,quantum/FB-Fidelity-SVM,quantum,7,0.6666666666666666,0.65,"{""clf__C"": 0.1}",61.00193490000311
1,quantum/FB-Fidelity-SVM,quantum,8,0.4444444444444444,0.4,"{""clf__C"": 0.1}",61.00193490000311
1,quantum/FB-Fidelity-SVM,quantum,9,0.6666666666666666,0.4,"{""clf__C"": 0.1}",61.00193490000311
1,quantum/FB-Fidelity-SVM,quantum,10,0.4444444444444444,0.55,"{""clf__C"": 0.1}",61.00193490000311
1,quantum/FB-Fidelity-SVM,quantum,11,0.4444444444444444,0.35,"{""clf__C"": 0.1}",61.00193490000311
1,quantum/FB-Fidelity-SVM,quantum,12,0.7777777777777778,0.7000000000000001,"{""clf__C"": 0.1}",61.00193490000311
1,quantum/FB-Fidelity-SVM,quantum,13,0.3333333333333333,0.2999999999999999,"{""clf__C"": 10.0}",61.00193490000311
1,quantum/FB-Fidelity-SVM,quantum,14,0.0,0.0,"{""clf__C"": 0.1}",61.00193490000311
1,quantum/FB-Fidelity-ref-SVM,quantum,0,0.6666666666666666,0.6,"{""clf__C"": 10.0}",75.79738089999955
1,quantum/FB-Fidelity-ref-SVM,quantum,1,0.8888888888888888,0.8,"{""clf__C"": 10.0}",75.79738089999955
1,quantum/FB-Fidelity-ref-SVM,quantum,2,0.8888888888888888,0.8500000000000001,"{""clf__C"": 10.0}",75.79738089999955
1,quantum/FB-Fidelity-ref-SVM,quantum,3,0.6666666666666666,0.75,"{""clf__C"": 10.0}",75.79738089999955
1,quantum/FB-Fidelity-ref-SVM,quantum,4,0.8888888888888888,0.9,"{""clf__C"": 10.0}",75.79738089999955
1,quantum/FB-Fidelity-ref-SVM,quantum,5,0.6666666666666666,0.7,"{""clf__C"": 10.0}",75.79738089999955
1,quantum/FB-Fidelity-ref-SVM,quantum,6,1.0,1.0,"{""clf__C"": 10.0}",75.79738089999955
1,quantum/FB-Fidelity-ref-SVM,quantum,7,0.7777777777777778,0.75,"{""clf__C"": 10.0}",75.79738089999955
1,quantum/FB-Fidelity-ref-SVM,quantum,8,0.7777777777777778,0.6500000000000001,"{""clf__C"": 10.0}",75.79738089999955
1,quantum/FB-Fidelity-ref-SVM,quantum,9,0.8888888888888888,0.95,"{""clf__C"": 10.0}",75.79738089999955
1,quantum/FB-Fidelity-ref-SVM,quantum,10,0.8888888888888888,1.0,"{""clf__C"": 10.0}",75.79738089999955
1,quantum/FB-Fidelity-ref-SVM,quantum,11,0.7777777777777778,0.8,"{""clf__C"": 10.0}",75.79738089999955
1,quantum/FB-Fidelity-ref-SVM,quantum,12,0.8888888888888888,0.95,"{""clf__C"": 10.0}",75.79738089999955
1,quantum/FB-Fidelity-ref-SVM,quantum,13,0.4444444444444444,0.4,"{""clf__C"": 10.0}",75.79738089999955
1,quantum/FB-Fidelity-ref-SVM,quantum,14,0.6666666666666666,1.0,"{""clf__C"": 10.0}",75.79738089999955
1,quantum/FB-HS-RBF-SVM,quantum,0,0.5555555555555556,0.6,"{""clf__C"": 1.0, ""clf__gamma_mult"": 1.0}",62.72774859999845
1,quantum/FB-HS-RBF-SVM,quantum,1,0.4444444444444444,0.55,"{""clf__C"": 1.0, ""clf__gamma_mult"": 4.0}",62.72774859999845
1,quantum/FB-HS-RBF-SVM,quantum,2,0.3333333333333333,0.3999999999999999,"{""clf__C"": 1.0, ""clf__gamma_mult"": 1.0}",62.72774859999845
1,quantum/FB-HS-RBF-SVM,quantum,3,0.5555555555555556,0.75,"{""clf__C"": 1.0, ""clf__gamma_mult"": 4.0}",62.72774859999845
1,quantum/FB-HS-RBF-SVM,quantum,4,0.5555555555555556,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",62.72774859999845
1,quantum/FB-HS-RBF-SVM,quantum,5,0.4444444444444444,0.3,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",62.72774859999845
1,quantum/FB-HS-RBF-SVM,quantum,6,0.7777777777777778,0.7,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",62.72774859999845
1,quantum/FB-HS-RBF-SVM,quantum,7,0.6666666666666666,0.8,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",62.72774859999845
1,quantum/FB-HS-RBF-SVM,quantum,8,0.4444444444444444,0.4499999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",62.72774859999845
1,quantum/FB-HS-RBF-SVM,quantum,9,0.7777777777777778,0.8500000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",62.72774859999845
1,quantum/FB-HS-RBF-SVM,quantum,10,0.4444444444444444,0.6499999999999999,"{""clf__C"": 1.0, ""clf__gamma_mult"": 1.0}",62.72774859999845
1,quantum/FB-HS-RBF-SVM,quantum,11,0.5555555555555556,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",62.72774859999845
1,quantum/FB-HS-RBF-SVM,quantum,12,0.4444444444444444,0.4499999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}",62.72774859999845
1,quantum/FB-HS-RBF-SVM,quantum,13,0.5555555555555556,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",62.72774859999845
1,quantum/FB-HS-RBF-SVM,quantum,14,0.3333333333333333,0.25,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",62.72774859999845
1,quantum/FB-HS-RBF-ref-SVM,quantum,0,0.5555555555555556,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",89.64733279999928
1,quantum/FB-HS-RBF-ref-SVM,quantum,1,0.8888888888888888,0.8500000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.64733279999928
1,quantum/FB-HS-RBF-ref-SVM,quantum,2,0.8888888888888888,0.8,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",89.64733279999928
1,quantum/FB-HS-RBF-ref-SVM,quantum,3,0.5555555555555556,0.8,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.64733279999928
1,quantum/FB-HS-RBF-ref-SVM,quantum,4,0.8888888888888888,0.9,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.64733279999928
1,quantum/FB-HS-RBF-ref-SVM,quantum,5,0.5555555555555556,0.7,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.64733279999928
1,quantum/FB-HS-RBF-ref-SVM,quantum,6,0.8888888888888888,1.0,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.64733279999928
1,quantum/FB-HS-RBF-ref-SVM,quantum,7,0.5555555555555556,0.65,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",89.64733279999928
1,quantum/FB-HS-RBF-ref-SVM,quantum,8,0.7777777777777778,0.7000000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.64733279999928
1,quantum/FB-HS-RBF-ref-SVM,quantum,9,0.8888888888888888,1.0,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.64733279999928
1,quantum/FB-HS-RBF-ref-SVM,quantum,10,0.8888888888888888,0.95,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",89.64733279999928
1,quantum/FB-HS-RBF-ref-SVM,quantum,11,0.7777777777777778,0.8,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.64733279999928
1,quantum/FB-HS-RBF-ref-SVM,quantum,12,0.7777777777777778,0.95,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.64733279999928
1,quantum/FB-HS-RBF-ref-SVM,quantum,13,0.5555555555555556,0.4,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.64733279999928
1,quantum/FB-HS-RBF-ref-SVM,quantum,14,0.7777777777777778,1.0,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.64733279999928
1,quantum/FB-Bures-RBF-SVM,quantum,0,0.6666666666666666,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",86.87377890000062
1,quantum/FB-Bures-RBF-SVM,quantum,1,0.3333333333333333,0.55,"{""clf__C"": 1.0, ""clf__gamma_mult"": 4.0}",86.87377890000062
1,quantum/FB-Bures-RBF-SVM,quantum,2,0.3333333333333333,0.35,"{""clf__C"": 1.0, ""clf__gamma_mult"": 4.0}",86.87377890000062
1,quantum/FB-Bures-RBF-SVM,quantum,3,0.7777777777777778,0.75,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",86.87377890000062
1,quantum/FB-Bures-RBF-SVM,quantum,4,0.6666666666666666,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",86.87377890000062
1,quantum/FB-Bures-RBF-SVM,quantum,5,0.3333333333333333,0.35,"{""clf__C"": 1.0, ""clf__gamma_mult"": 4.0}",86.87377890000062
1,quantum/FB-Bures-RBF-SVM,quantum,6,0.4444444444444444,0.6,"{""clf__C"": 1.0, ""clf__gamma_mult"": 1.0}",86.87377890000062
1,quantum/FB-Bures-RBF-SVM,quantum,7,0.7777777777777778,0.7000000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}",86.87377890000062
1,quantum/FB-Bures-RBF-SVM,quantum,8,0.5555555555555556,0.6,"{""clf__C"": 1.0, ""clf__gamma_mult"": 4.0}",86.87377890000062
1,quantum/FB-Bures-RBF-SVM,quantum,9,0.8888888888888888,0.8500000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",86.87377890000062
1,quantum/FB-Bures-RBF-SVM,quantum,10,0.7777777777777778,0.85,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",86.87377890000062
1,quantum/FB-Bures-RBF-SVM,quantum,11,0.5555555555555556,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",86.87377890000062
1,quantum/FB-Bures-RBF-SVM,quantum,12,0.4444444444444444,0.5,"{""clf__C"": 1.0, ""clf__gamma_mult"": 4.0}",86.87377890000062
1,quantum/FB-Bures-RBF-SVM,quantum,13,0.3333333333333333,0.3999999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}",86.87377890000062
1,quantum/FB-Bures-RBF-SVM,quantum,14,0.5555555555555556,0.65,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}",86.87377890000062
1,quantum/FB-Bures-RBF-ref-SVM,quantum,0,0.5555555555555556,0.55,"{""clf__C"": 1.0, ""clf__gamma_mult"": 1.0}",117.27876599999944
1,quantum/FB-Bures-RBF-ref-SVM,quantum,1,0.8888888888888888,0.8,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",117.27876599999944
1,quantum/FB-Bures-RBF-ref-SVM,quantum,2,0.7777777777777778,0.8500000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",117.27876599999944
1,quantum/FB-Bures-RBF-ref-SVM,quantum,3,0.7777777777777778,0.75,"{""clf__C"": 1.0, ""clf__gamma_mult"": 1.0}",117.27876599999944
1,quantum/FB-Bures-RBF-ref-SVM,quantum,4,0.8888888888888888,0.9,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",117.27876599999944
1,quantum/FB-Bures-RBF-ref-SVM,quantum,5,0.4444444444444444,0.65,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",117.27876599999944
1,quantum/FB-Bures-RBF-ref-SVM,quantum,6,0.8888888888888888,0.95,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",117.27876599999944
1,quantum/FB-Bures-RBF-ref-SVM,quantum,7,0.6666666666666666,0.7,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",117.27876599999944
1,quantum/FB-Bures-RBF-ref-SVM,quantum,8,0.7777777777777778,0.6500000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",117.27876599999944
1,quantum/FB-Bures-RBF-ref-SVM,quantum,9,0.8888888888888888,0.8500000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",117.27876599999944
1,quantum/FB-Bures-RBF-ref-SVM,quantum,10,0.8888888888888888,0.95,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",117.27876599999944
1,quantum/FB-Bures-RBF-ref-SVM,quantum,11,0.7777777777777778,0.8,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",117.27876599999944
1,quantum/FB-Bures-RBF-ref-SVM,quantum,12,0.7777777777777778,0.95,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",117.27876599999944
1,quantum/FB-Bures-RBF-ref-SVM,quantum,13,0.5555555555555556,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",117.27876599999944
1,quantum/FB-Bures-RBF-ref-SVM,quantum,14,0.7777777777777778,0.95,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",117.27876599999944
1,quantum/FB-QRE-RBF-SVM,quantum,0,0.6666666666666666,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",68.33497659999921
1,quantum/FB-QRE-RBF-SVM,quantum,1,0.4444444444444444,0.55,"{""clf__C"": 1.0, ""clf__gamma_mult"": 4.0}",68.33497659999921
1,quantum/FB-QRE-RBF-SVM,quantum,2,0.3333333333333333,0.3999999999999999,"{""clf__C"": 1.0, ""clf__gamma_mult"": 4.0}",68.33497659999921
1,quantum/FB-QRE-RBF-SVM,quantum,3,0.6666666666666666,0.7,"{""clf__C"": 1.0, ""clf__gamma_mult"": 4.0}",68.33497659999921
1,quantum/FB-QRE-RBF-SVM,quantum,4,0.6666666666666666,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",68.33497659999921
1,quantum/FB-QRE-RBF-SVM,quantum,5,0.4444444444444444,0.25,"{""clf__C"": 1.0, ""clf__gamma_mult"": 1.0}",68.33497659999921
1,quantum/FB-QRE-RBF-SVM,quantum,6,0.4444444444444444,0.6,"{""clf__C"": 1.0, ""clf__gamma_mult"": 1.0}",68.33497659999921
1,quantum/FB-QRE-RBF-SVM,quantum,7,0.7777777777777778,0.7000000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}",68.33497659999921
1,quantum/FB-QRE-RBF-SVM,quantum,8,0.4444444444444444,0.6,"{""clf__C"": 1.0, ""clf__gamma_mult"": 4.0}",68.33497659999921
1,quantum/FB-QRE-RBF-SVM,quantum,9,0.8888888888888888,0.8500000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",68.33497659999921
1,quantum/FB-QRE-RBF-SVM,quantum,10,0.6666666666666666,0.7000000000000001,"{""clf__C"": 1.0, ""clf__gamma_mult"": 4.0}",68.33497659999921
1,quantum/FB-QRE-RBF-SVM,quantum,11,0.5555555555555556,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",68.33497659999921
1,quantum/FB-QRE-RBF-SVM,quantum,12,0.4444444444444444,0.5,"{""clf__C"": 1.0, ""clf__gamma_mult"": 4.0}",68.33497659999921
1,quantum/FB-QRE-RBF-SVM,quantum,13,0.4444444444444444,0.3999999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}",68.33497659999921
1,quantum/FB-QRE-RBF-SVM,quantum,14,0.3333333333333333,0.3,"{""clf__C"": 1.0, ""clf__gamma_mult"": 1.0}",68.33497659999921
1,quantum/FB-QRE-RBF-ref-SVM,quantum,0,0.5555555555555556,0.5,"{""clf__C"": 1.0, ""clf__gamma_mult"": 1.0}",89.9873626999979
1,quantum/FB-QRE-RBF-ref-SVM,quantum,1,0.8888888888888888,0.8,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.9873626999979
1,quantum/FB-QRE-RBF-ref-SVM,quantum,2,0.8888888888888888,0.8500000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.9873626999979
1,quantum/FB-QRE-RBF-ref-SVM,quantum,3,0.5555555555555556,0.75,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.9873626999979
1,quantum/FB-QRE-RBF-ref-SVM,quantum,4,0.8888888888888888,0.9,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.9873626999979
1,quantum/FB-QRE-RBF-ref-SVM,quantum,5,0.5555555555555556,0.8,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",89.9873626999979
1,quantum/FB-QRE-RBF-ref-SVM,quantum,6,0.8888888888888888,0.95,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",89.9873626999979
1,quantum/FB-QRE-RBF-ref-SVM,quantum,7,0.6666666666666666,0.7,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.9873626999979
1,quantum/FB-QRE-RBF-ref-SVM,quantum,8,0.7777777777777778,0.6500000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.9873626999979
1,quantum/FB-QRE-RBF-ref-SVM,quantum,9,0.8888888888888888,1.0,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",89.9873626999979
1,quantum/FB-QRE-RBF-ref-SVM,quantum,10,0.8888888888888888,0.95,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",89.9873626999979
