subject,frame,kernel,mean,std,var,shots_for_1sigma
1,sensor,HS-overlap,0.9908160790354567,0.010084766051826875,0.0001017025063200798,9832.599374225681
1,sensor,Fidelity,0.9880684300657451,0.00990642170824436,9.813719106157508e-05,10189.816818504223
1,sensor,Bures-d2,0.011992616031655473,0.010018061205561396,0.00010036155031837424,9963.97521588424
1,sensor,QRE,0.028883732925598853,0.024816690898102567,0.0006158681471319669,1623.7241764440892
1,reference,HS-overlap,0.8855730295613317,0.06060643648889128,0.0036731401438820127,272.24662300609504
1,reference,Fidelity,0.942669245728602,0.02836346528291102,0.0008044861628548986,1243.0294592653738
1,reference,Bures-d2,0.058402133142936595,0.029575434578534145,0.0008747063305091532,1143.2408399490093
1,reference,QRE,0.11933088987830938,0.06167282435600799,0.003803537264047012,262.9131596665329
2,sensor,HS-overlap,0.9776002252098509,0.018091947286429485,0.00032731855661494326,3055.127733489298
2,sensor,Fidelity,0.9835158862849077,0.01346216609805829,0.00018122991605170995,5517.852801491516
2,sensor,Bures-d2,0.016599542428040057,0.013644414350592403,0.0001861700429706519,5371.433470408778
2,sensor,QRE,0.036841753341382615,0.029670972169274782,0.0008803665894698787,1135.890448321261
2,reference,HS-overlap,0.8577263969159714,0.0640252054020603,0.004099226926776011,243.948436586429
2,reference,Fidelity,0.9236230287050988,0.035753904474301976,0.001278341685157511,782.2634680623631
2,reference,Bures-d2,0.07826697665707673,0.03787217730290007,0.0014343018136622995,697.2033295047105
2,reference,QRE,0.1607055775155523,0.07919227810494335,0.006271416911450689,159.45359942091338
3,sensor,HS-overlap,0.9915984558213536,0.0066335243583693845,4.400364541307996e-05,22725.389921962076
3,sensor,Fidelity,0.9823750911262348,0.01376577967352898,0.0001894966900201436,5277.137030170286
3,sensor,Bures-d2,0.017752244878618158,0.013935631352035138,0.00019420182117982465,5149.282297790772
3,sensor,QRE,0.04084403733106168,0.030064441851904815,0.0009038706638665659,1106.3529772304075
3,reference,HS-overlap,0.846462944370764,0.06828103852381667,0.0046623002218909365,214.4864020778181
3,reference,Fidelity,0.9193017690202319,0.03519871957455735,0.0012389498596883266,807.1351654630822
3,reference,Bures-d2,0.08275021765471932,0.036882898176535985,0.0013603481779007214,735.1059208556387
3,reference,QRE,0.17038033178028855,0.07701108503919535,0.005930707218914177,168.6139549783887
4,sensor,HS-overlap,0.9871510353685061,0.01383459481736139,0.00019139601376056263,5224.769212022383
4,sensor,Fidelity,0.9937057550335482,0.007104980418793543,5.048074675143967e-05,19809.532630804057
4,sensor,Bures-d2,0.006317022205231565,0.00715570999809462,5.12041855768313e-05,19529.653459667108
4,sensor,QRE,0.012937624137171115,0.014422307598100485,0.00020800295645422698,4807.62397346049
4,reference,HS-overlap,0.9007960296186748,0.03898135200621151,0.0015195458042321698,658.0913831059554
4,reference,Fidelity,0.9480568938581847,0.020184287409227848,0.0004074054582183139,2454.5571980632035
4,reference,Bures-d2,0.05274776481359468,0.020887986841407913,0.00043630799428683004,2291.958921437037
4,reference,QRE,0.10738112547306529,0.04310550179312048,0.0018580842848367133,538.1887184347394
5,sensor,HS-overlap,0.9708305988333346,0.032727512000802955,0.0010710900417627016,933.6283234921052
5,sensor,Fidelity,0.9841469602553636,0.018477533171898704,0.00034141923211861695,2928.950410305465
5,sensor,Bures-d2,0.016005409043315044,0.018796384654256877,0.0003533040760707834,2830.4230483875117
5,sensor,QRE,0.03265115875649673,0.0380205271826253,0.0014455604872447496,691.7731971949568
5,reference,HS-overlap,0.8942473203314244,0.05168299065152999,0.002671131522686136,374.3731791216266
5,reference,Fidelity,0.9444155314426199,0.026604628379862758,0.0007078062512305988,1412.8160047490262
5,reference,Bures-d2,0.05657669838851294,0.027712750206107844,0.0007679965239861304,1302.0892266669418
5,reference,QRE,0.11544055299805049,0.057632656102899076,0.00332152304947503,301.0667049738074
6,sensor,HS-overlap,0.9553487041291252,0.04447726757156636,0.001978227330632708,505.5030756653049
6,sensor,Fidelity,0.9713503042736237,0.0312237665110153,0.0009749235951344006,1025.7214052370355
6,sensor,Bures-d2,0.029119859846130088,0.032135498153220636,0.001032690241555647,968.3445817146463
6,sensor,QRE,0.05954627892294148,0.06497690379141131,0.004221998026318323,236.8546820169934
6,reference,HS-overlap,0.7632066709677968,0.15444289946513542,0.02385260919519793,41.92413466453484
6,reference,Fidelity,0.8591537755619648,0.09557024314341404,0.009133671374491278,109.48499885739511
6,reference,Bures-d2,0.14916775145044983,0.10504803652079633,0.01103508997687456,90.6200132573117
6,reference,QRE,0.32143894191533384,0.23462842273907294,0.05505049675702512,18.16514035129733
7,sensor,HS-overlap,0.9800384491018714,0.014906821389216573,0.00022221332393000472,4500.180197632934
7,sensor,Fidelity,0.9713369200237703,0.02333601576459746,0.0005445696317655412,1836.312459726986
