subject,draw,n_train,n_test,pipeline,group,accuracy,best
29,0,10,40,classical/TS+LR,classical,0.675,"{""clf__C"": 0.1}"
29,0,10,40,classical/MDM,classical,0.525,{}
29,0,10,40,classical/CSP+LDA,classical,0.55,"{""csp__nfilter"": 4}"
29,0,10,40,control/riemann-kernel-SVM,control,0.625,"{""clf__C"": 10.0}"
29,0,10,40,control/logeuclid-kernel-SVM,control,0.525,"{""clf__C"": 0.1}"
29,0,10,40,quantum/HS-overlap-SVM,quantum,0.525,"{""clf__C"": 0.1}"
29,0,10,40,quantum/Fidelity-SVM,quantum,0.525,"{""clf__C"": 0.1}"
29,0,10,40,quantum/HS-RBF-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
29,0,10,40,quantum/Bures-RBF-SVM,quantum,0.575,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
29,0,10,40,quantum/QRE-RBF-SVM,quantum,0.7,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
29,0,10,40,quantum/HS-overlap-ref-SVM,quantum,0.5,"{""clf__C"": 10.0}"
29,0,10,40,quantum/Fidelity-ref-SVM,quantum,0.5,"{""clf__C"": 0.1}"
29,0,10,40,quantum/HS-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
29,0,10,40,quantum/Bures-RBF-ref-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
29,0,10,40,quantum/QRE-RBF-ref-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
29,0,20,40,classical/TS+LR,classical,0.55,"{""clf__C"": 10.0}"
29,0,20,40,classical/MDM,classical,0.5,{}
29,0,20,40,classical/CSP+LDA,classical,0.475,"{""csp__nfilter"": 2}"
29,0,20,40,control/riemann-kernel-SVM,control,0.575,"{""clf__C"": 10.0}"
29,0,20,40,control/logeuclid-kernel-SVM,control,0.575,"{""clf__C"": 10.0}"
29,0,20,40,quantum/HS-overlap-SVM,quantum,0.5,"{""clf__C"": 0.1}"
29,0,20,40,quantum/Fidelity-SVM,quantum,0.475,"{""clf__C"": 0.1}"
29,0,20,40,quantum/HS-RBF-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
29,0,20,40,quantum/Bures-RBF-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
