subject,draw,n_train,n_test,pipeline,group,accuracy,best
50,0,160,40,quantum/QRE-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,1,10,40,classical/TS+LR,classical,0.575,"{""clf__C"": 0.1}"
50,1,10,40,classical/MDM,classical,0.5,{}
50,1,10,40,classical/CSP+LDA,classical,0.475,"{""csp__nfilter"": 2}"
50,1,10,40,control/riemann-kernel-SVM,control,0.6,"{""clf__C"": 10.0}"
50,1,10,40,control/logeuclid-kernel-SVM,control,0.575,"{""clf__C"": 10.0}"
50,1,10,40,quantum/HS-overlap-SVM,quantum,0.45,"{""clf__C"": 10.0}"
50,1,10,40,quantum/Fidelity-SVM,quantum,0.5,"{""clf__C"": 10.0}"
50,1,10,40,quantum/HS-RBF-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,1,10,40,quantum/Bures-RBF-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,1,10,40,quantum/QRE-RBF-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,1,10,40,quantum/HS-overlap-ref-SVM,quantum,0.575,"{""clf__C"": 10.0}"
50,1,10,40,quantum/Fidelity-ref-SVM,quantum,0.5,"{""clf__C"": 10.0}"
50,1,10,40,quantum/HS-RBF-ref-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,1,10,40,quantum/Bures-RBF-ref-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,1,10,40,quantum/QRE-RBF-ref-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,1,20,40,classical/TS+LR,classical,0.575,"{""clf__C"": 10.0}"
50,1,20,40,classical/MDM,classical,0.5,{}
50,1,20,40,classical/CSP+LDA,classical,0.5,"{""csp__nfilter"": 6}"
50,1,20,40,control/riemann-kernel-SVM,control,0.6,"{""clf__C"": 10.0}"
50,1,20,40,control/logeuclid-kernel-SVM,control,0.525,"{""clf__C"": 10.0}"
50,1,20,40,quantum/HS-overlap-SVM,quantum,0.475,"{""clf__C"": 0.1}"
50,1,20,40,quantum/Fidelity-SVM,quantum,0.5,"{""clf__C"": 0.1}"
50,1,20,40,quantum/HS-RBF-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,1,20,40,quantum/Bures-RBF-SVM,quantum,0.425,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,1,20,40,quantum/QRE-RBF-SVM,quantum,0.475,"{""clf__C"": 1.0, ""clf__gamma_mult"": 1.0}"
50,1,20,40,quantum/HS-overlap-ref-SVM,quantum,0.525,"{""clf__C"": 10.0}"
50,1,20,40,quantum/Fidelity-ref-SVM,quantum,0.575,"{""clf__C"": 10.0}"
50,1,20,40,quantum/HS-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,1,20,40,quantum/Bures-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,1,20,40,quantum/QRE-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,1,40,40,classical/TS+LR,classical,0.55,"{""clf__C"": 1.0}"
50,1,40,40,classical/MDM,classical,0.525,{}
50,1,40,40,classical/CSP+LDA,classical,0.575,"{""csp__nfilter"": 6}"
50,1,40,40,control/riemann-kernel-SVM,control,0.525,"{""clf__C"": 1.0}"
50,1,40,40,control/logeuclid-kernel-SVM,control,0.625,"{""clf__C"": 10.0}"
50,1,40,40,quantum/HS-overlap-SVM,quantum,0.35,"{""clf__C"": 0.1}"
50,1,40,40,quantum/Fidelity-SVM,quantum,0.525,"{""clf__C"": 0.1}"
50,1,40,40,quantum/HS-RBF-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,1,40,40,quantum/Bures-RBF-SVM,quantum,0.5,"{""clf__C"": 0.1, ""clf__gamma_mult"": 0.25}"
50,1,40,40,quantum/QRE-RBF-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,1,40,40,quantum/HS-overlap-ref-SVM,quantum,0.6,"{""clf__C"": 10.0}"
50,1,40,40,quantum/Fidelity-ref-SVM,quantum,0.5,"{""clf__C"": 0.1}"
50,1,40,40,quantum/HS-RBF-ref-SVM,quantum,0.625,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,1,40,40,quantum/Bures-RBF-ref-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,1,40,40,quantum/QRE-RBF-ref-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,1,80,40,classical/TS+LR,classical,0.575,"{""clf__C"": 0.1}"
50,1,80,40,classical/MDM,classical,0.45,{}
50,1,80,40,classical/CSP+LDA,classical,0.575,"{""csp__nfilter"": 2}"
50,1,80,40,control/riemann-kernel-SVM,control,0.55,"{""clf__C"": 10.0}"
50,1,80,40,control/logeuclid-kernel-SVM,control,0.525,"{""clf__C"": 10.0}"
50,1,80,40,quantum/HS-overlap-SVM,quantum,0.45,"{""clf__C"": 10.0}"
50,1,80,40,quantum/Fidelity-SVM,quantum,0.5,"{""clf__C"": 10.0}"
50,1,80,40,quantum/HS-RBF-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}"
50,1,80,40,quantum/Bures-RBF-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}"
50,1,80,40,quantum/QRE-RBF-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,1,80,40,quantum/HS-overlap-ref-SVM,quantum,0.55,"{""clf__C"": 10.0}"
50,1,80,40,quantum/Fidelity-ref-SVM,quantum,0.6,"{""clf__C"": 10.0}"
50,1,80,40,quantum/HS-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,1,80,40,quantum/Bures-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,1,80,40,quantum/QRE-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,1,160,40,classical/TS+LR,classical,0.7,"{""clf__C"": 0.1}"
50,1,160,40,classical/MDM,classical,0.5,{}
50,1,160,40,classical/CSP+LDA,classical,0.475,"{""csp__nfilter"": 4}"
50,1,160,40,control/riemann-kernel-SVM,control,0.575,"{""clf__C"": 10.0}"
50,1,160,40,control/logeuclid-kernel-SVM,control,0.6,"{""clf__C"": 10.0}"
50,1,160,40,quantum/HS-overlap-SVM,quantum,0.45,"{""clf__C"": 0.1}"
50,1,160,40,quantum/Fidelity-SVM,quantum,0.55,"{""clf__C"": 0.1}"
50,1,160,40,quantum/HS-RBF-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}"
50,1,160,40,quantum/Bures-RBF-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}"
50,1,160,40,quantum/QRE-RBF-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,1,160,40,quantum/HS-overlap-ref-SVM,quantum,0.625,"{""clf__C"": 10.0}"
50,1,160,40,quantum/Fidelity-ref-SVM,quantum,0.575,"{""clf__C"": 10.0}"
50,1,160,40,quantum/HS-RBF-ref-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,1,160,40,quantum/Bures-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,1,160,40,quantum/QRE-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,10,40,classical/TS+LR,classical,0.5,"{""clf__C"": 1.0}"
50,2,10,40,classical/MDM,classical,0.475,{}
50,2,10,40,classical/CSP+LDA,classical,0.525,"{""csp__nfilter"": 4}"
50,2,10,40,control/riemann-kernel-SVM,control,0.5,"{""clf__C"": 10.0}"
50,2,10,40,control/logeuclid-kernel-SVM,control,0.525,"{""clf__C"": 10.0}"
50,2,10,40,quantum/HS-overlap-SVM,quantum,0.45,"{""clf__C"": 0.1}"
50,2,10,40,quantum/Fidelity-SVM,quantum,0.55,"{""clf__C"": 0.1}"
50,2,10,40,quantum/HS-RBF-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,10,40,quantum/Bures-RBF-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,10,40,quantum/QRE-RBF-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,10,40,quantum/HS-overlap-ref-SVM,quantum,0.575,"{""clf__C"": 10.0}"
50,2,10,40,quantum/Fidelity-ref-SVM,quantum,0.55,"{""clf__C"": 0.1}"
50,2,10,40,quantum/HS-RBF-ref-SVM,quantum,0.625,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,2,10,40,quantum/Bures-RBF-ref-SVM,quantum,0.575,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,2,10,40,quantum/QRE-RBF-ref-SVM,quantum,0.575,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,2,20,40,classical/TS+LR,classical,0.475,"{""clf__C"": 0.1}"
50,2,20,40,classical/MDM,classical,0.525,{}
50,2,20,40,classical/CSP+LDA,classical,0.5,"{""csp__nfilter"": 6}"
50,2,20,40,control/riemann-kernel-SVM,control,0.55,"{""clf__C"": 10.0}"
50,2,20,40,control/logeuclid-kernel-SVM,control,0.525,"{""clf__C"": 10.0}"
50,2,20,40,quantum/HS-overlap-SVM,quantum,0.475,"{""clf__C"": 0.1}"
50,2,20,40,quantum/Fidelity-SVM,quantum,0.55,"{""clf__C"": 10.0}"
50,2,20,40,quantum/HS-RBF-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,20,40,quantum/Bures-RBF-SVM,quantum,0.575,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,20,40,quantum/QRE-RBF-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,2,20,40,quantum/HS-overlap-ref-SVM,quantum,0.55,"{""clf__C"": 10.0}"
50,2,20,40,quantum/Fidelity-ref-SVM,quantum,0.525,"{""clf__C"": 10.0}"
50,2,20,40,quantum/HS-RBF-ref-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,2,20,40,quantum/Bures-RBF-ref-SVM,quantum,0.575,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,2,20,40,quantum/QRE-RBF-ref-SVM,quantum,0.575,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,40,40,classical/TS+LR,classical,0.5,"{""clf__C"": 10.0}"
50,2,40,40,classical/MDM,classical,0.525,{}
50,2,40,40,classical/CSP+LDA,classical,0.5,"{""csp__nfilter"": 4}"
50,2,40,40,control/riemann-kernel-SVM,control,0.525,"{""clf__C"": 10.0}"
50,2,40,40,control/logeuclid-kernel-SVM,control,0.475,"{""clf__C"": 10.0}"
50,2,40,40,quantum/HS-overlap-SVM,quantum,0.425,"{""clf__C"": 0.1}"
50,2,40,40,quantum/Fidelity-SVM,quantum,0.525,"{""clf__C"": 0.1}"
50,2,40,40,quantum/HS-RBF-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}"
50,2,40,40,quantum/Bures-RBF-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,40,40,quantum/QRE-RBF-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,40,40,quantum/HS-overlap-ref-SVM,quantum,0.5,"{""clf__C"": 10.0}"
50,2,40,40,quantum/Fidelity-ref-SVM,quantum,0.6,"{""clf__C"": 0.1}"
50,2,40,40,quantum/HS-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,2,40,40,quantum/Bures-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,2,40,40,quantum/QRE-RBF-ref-SVM,quantum,0.425,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,80,40,classical/TS+LR,classical,0.45,"{""clf__C"": 10.0}"
50,2,80,40,classical/MDM,classical,0.5,{}
50,2,80,40,classical/CSP+LDA,classical,0.575,"{""csp__nfilter"": 6}"
50,2,80,40,control/riemann-kernel-SVM,control,0.55,"{""clf__C"": 10.0}"
50,2,80,40,control/logeuclid-kernel-SVM,control,0.525,"{""clf__C"": 10.0}"
50,2,80,40,quantum/HS-overlap-SVM,quantum,0.475,"{""clf__C"": 0.1}"
50,2,80,40,quantum/Fidelity-SVM,quantum,0.45,"{""clf__C"": 0.1}"
50,2,80,40,quantum/HS-RBF-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}"
50,2,80,40,quantum/Bures-RBF-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,80,40,quantum/QRE-RBF-SVM,quantum,0.625,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,80,40,quantum/HS-overlap-ref-SVM,quantum,0.625,"{""clf__C"": 10.0}"
50,2,80,40,quantum/Fidelity-ref-SVM,quantum,0.475,"{""clf__C"": 0.1}"
50,2,80,40,quantum/HS-RBF-ref-SVM,quantum,0.575,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,80,40,quantum/Bures-RBF-ref-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,80,40,quantum/QRE-RBF-ref-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,160,40,classical/TS+LR,classical,0.7,"{""clf__C"": 0.1}"
50,2,160,40,classical/MDM,classical,0.5,{}
50,2,160,40,classical/CSP+LDA,classical,0.475,"{""csp__nfilter"": 4}"
50,2,160,40,control/riemann-kernel-SVM,control,0.575,"{""clf__C"": 10.0}"
50,2,160,40,control/logeuclid-kernel-SVM,control,0.6,"{""clf__C"": 10.0}"
50,2,160,40,quantum/HS-overlap-SVM,quantum,0.45,"{""clf__C"": 0.1}"
50,2,160,40,quantum/Fidelity-SVM,quantum,0.55,"{""clf__C"": 0.1}"
50,2,160,40,quantum/HS-RBF-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}"
50,2,160,40,quantum/Bures-RBF-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}"
50,2,160,40,quantum/QRE-RBF-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,160,40,quantum/HS-overlap-ref-SVM,quantum,0.625,"{""clf__C"": 10.0}"
50,2,160,40,quantum/Fidelity-ref-SVM,quantum,0.575,"{""clf__C"": 10.0}"
50,2,160,40,quantum/HS-RBF-ref-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,160,40,quantum/Bures-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,2,160,40,quantum/QRE-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,3,10,40,classical/TS+LR,classical,0.55,"{""clf__C"": 0.1}"
50,3,10,40,classical/MDM,classical,0.525,{}
50,3,10,40,classical/CSP+LDA,classical,0.6,"{""csp__nfilter"": 2}"
50,3,10,40,control/riemann-kernel-SVM,control,0.525,"{""clf__C"": 1.0}"
50,3,10,40,control/logeuclid-kernel-SVM,control,0.475,"{""clf__C"": 10.0}"
50,3,10,40,quantum/HS-overlap-SVM,quantum,0.5,"{""clf__C"": 0.1}"
50,3,10,40,quantum/Fidelity-SVM,quantum,0.525,"{""clf__C"": 0.1}"
50,3,10,40,quantum/HS-RBF-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,3,10,40,quantum/Bures-RBF-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,3,10,40,quantum/QRE-RBF-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,3,10,40,quantum/HS-overlap-ref-SVM,quantum,0.5,"{""clf__C"": 10.0}"
50,3,10,40,quantum/Fidelity-ref-SVM,quantum,0.55,"{""clf__C"": 10.0}"
50,3,10,40,quantum/HS-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,3,10,40,quantum/Bures-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,3,10,40,quantum/QRE-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
50,3,20,40,classical/TS+LR,classical,0.625,"{""clf__C"": 10.0}"
50,3,20,40,classical/MDM,classical,0.525,{}
50,3,20,40,classical/CSP+LDA,classical,0.525,"{""csp__nfilter"": 2}"
50,3,20,40,control/riemann-kernel-SVM,control,0.475,"{""clf__C"": 10.0}"
50,3,20,40,control/logeuclid-kernel-SVM,control,0.575,"{""clf__C"": 10.0}"
50,3,20,40,quantum/HS-overlap-SVM,quantum,0.425,"{""clf__C"": 0.1}"
50,3,20,40,quantum/Fidelity-SVM,quantum,0.525,"{""clf__C"": 0.1}"
50,3,20,40,quantum/HS-RBF-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,3,20,40,quantum/Bures-RBF-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,3,20,40,quantum/QRE-RBF-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,3,20,40,quantum/HS-overlap-ref-SVM,quantum,0.6,"{""clf__C"": 10.0}"
50,3,20,40,quantum/Fidelity-ref-SVM,quantum,0.6,"{""clf__C"": 0.1}"
50,3,20,40,quantum/HS-RBF-ref-SVM,quantum,0.625,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,3,20,40,quantum/Bures-RBF-ref-SVM,quantum,0.625,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,3,20,40,quantum/QRE-RBF-ref-SVM,quantum,0.625,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,3,40,40,classical/TS+LR,classical,0.675,"{""clf__C"": 0.1}"
50,3,40,40,classical/MDM,classical,0.575,{}
50,3,40,40,classical/CSP+LDA,classical,0.575,"{""csp__nfilter"": 4}"
50,3,40,40,control/riemann-kernel-SVM,control,0.525,"{""clf__C"": 10.0}"
50,3,40,40,control/logeuclid-kernel-SVM,control,0.575,"{""clf__C"": 10.0}"
50,3,40,40,quantum/HS-overlap-SVM,quantum,0.525,"{""clf__C"": 0.1}"
50,3,40,40,quantum/Fidelity-SVM,quantum,0.55,"{""clf__C"": 0.1}"
50,3,40,40,quantum/HS-RBF-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
50,3,40,40,quantum/Bures-RBF-SVM,quantum,0.675,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
