subject,draw,n_train,n_test,pipeline,group,accuracy,best
1,0,10,40,classical/TS+LR,classical,0.675,"{""clf__C"": 0.1}"
1,0,10,40,classical/MDM,classical,0.675,{}
1,0,10,40,classical/CSP+LDA,classical,0.625,"{""csp__nfilter"": 4}"
1,0,10,40,control/riemann-kernel-SVM,control,0.65,"{""clf__C"": 1.0}"
1,0,10,40,control/logeuclid-kernel-SVM,control,0.7,"{""clf__C"": 10.0}"
1,0,10,40,quantum/HS-overlap-SVM,quantum,0.725,"{""clf__C"": 10.0}"
1,0,10,40,quantum/Fidelity-SVM,quantum,0.75,"{""clf__C"": 10.0}"
1,0,10,40,quantum/HS-RBF-SVM,quantum,0.725,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
1,0,10,40,quantum/Bures-RBF-SVM,quantum,0.725,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
1,0,10,40,quantum/QRE-RBF-SVM,quantum,0.725,"{""clf__C"": 1.0, ""clf__gamma_mult"": 1.0}"
1,0,10,40,quantum/HS-overlap-ref-SVM,quantum,0.775,"{""clf__C"": 10.0}"
1,0,10,40,quantum/Fidelity-ref-SVM,quantum,0.8,"{""clf__C"": 10.0}"
1,0,10,40,quantum/HS-RBF-ref-SVM,quantum,0.775,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
1,0,10,40,quantum/Bures-RBF-ref-SVM,quantum,0.8,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
1,0,10,40,quantum/QRE-RBF-ref-SVM,quantum,0.8,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
1,0,20,40,classical/TS+LR,classical,0.725,"{""clf__C"": 0.1}"
1,0,20,40,classical/MDM,classical,0.675,{}
1,0,20,40,classical/CSP+LDA,classical,0.675,"{""csp__nfilter"": 6}"
1,0,20,40,control/riemann-kernel-SVM,control,0.7,"{""clf__C"": 10.0}"
1,0,20,40,control/logeuclid-kernel-SVM,control,0.675,"{""clf__C"": 10.0}"
1,0,20,40,quantum/HS-overlap-SVM,quantum,0.75,"{""clf__C"": 10.0}"
1,0,20,40,quantum/Fidelity-SVM,quantum,0.725,"{""clf__C"": 10.0}"
1,0,20,40,quantum/HS-RBF-SVM,quantum,0.725,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
1,0,20,40,quantum/Bures-RBF-SVM,quantum,0.75,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
1,0,20,40,quantum/QRE-RBF-SVM,quantum,0.75,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
1,0,20,40,quantum/HS-overlap-ref-SVM,quantum,0.8,"{""clf__C"": 10.0}"
1,0,20,40,quantum/Fidelity-ref-SVM,quantum,0.775,"{""clf__C"": 10.0}"
1,0,20,40,quantum/HS-RBF-ref-SVM,quantum,0.75,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
1,0,20,40,quantum/Bures-RBF-ref-SVM,quantum,0.8,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
1,0,20,40,quantum/QRE-RBF-ref-SVM,quantum,0.8,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
1,0,40,40,classical/TS+LR,classical,0.775,"{""clf__C"": 0.1}"
1,0,40,40,classical/MDM,classical,0.675,{}
1,0,40,40,classical/CSP+LDA,classical,0.75,"{""csp__nfilter"": 4}"
1,0,40,40,control/riemann-kernel-SVM,control,0.8,"{""clf__C"": 10.0}"
1,0,40,40,control/logeuclid-kernel-SVM,control,0.7,"{""clf__C"": 10.0}"
1,0,40,40,quantum/HS-overlap-SVM,quantum,0.725,"{""clf__C"": 10.0}"
1,0,40,40,quantum/Fidelity-SVM,quantum,0.75,"{""clf__C"": 10.0}"
1,0,40,40,quantum/HS-RBF-SVM,quantum,0.675,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
1,0,40,40,quantum/Bures-RBF-SVM,quantum,0.725,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
1,0,40,40,quantum/QRE-RBF-SVM,quantum,0.725,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
