subject,pipeline,group,fold,accuracy,auc,best_params,fit_seconds_total
37,classical/logvar+LDA,classical,0,0.6,0.6924999999999999,{},0.15237559999968653
37,classical/logvar+LDA,classical,1,0.725,0.83,{},0.15237559999968653
37,classical/logvar+LDA,classical,2,0.725,0.8175,{},0.15237559999968653
37,classical/logvar+LDA,classical,3,0.55,0.63,{},0.15237559999968653
37,classical/logvar+LDA,classical,4,0.7,0.745,{},0.15237559999968653
37,classical/logvar+LDA,classical,5,0.7,0.7675,{},0.15237559999968653
37,classical/logvar+LDA,classical,6,0.55,0.625,{},0.15237559999968653
37,classical/logvar+LDA,classical,7,0.65,0.735,{},0.15237559999968653
37,classical/logvar+LDA,classical,8,0.75,0.8825000000000001,{},0.15237559999968653
37,classical/logvar+LDA,classical,9,0.65,0.7425,{},0.15237559999968653
37,classical/logvar+LDA,classical,10,0.65,0.825,{},0.15237559999968653
37,classical/logvar+LDA,classical,11,0.625,0.785,{},0.15237559999968653
37,classical/logvar+LDA,classical,12,0.75,0.8099999999999999,{},0.15237559999968653
37,classical/logvar+LDA,classical,13,0.675,0.6975,{},0.15237559999968653
37,classical/logvar+LDA,classical,14,0.65,0.705,{},0.15237559999968653
37,classical/CSP+LDA,classical,0,0.75,0.75,"{""csp__nfilter"": 6}",11.799491300000227
37,classical/CSP+LDA,classical,1,0.775,0.8524999999999999,"{""csp__nfilter"": 6}",11.799491300000227
37,classical/CSP+LDA,classical,2,0.625,0.75,"{""csp__nfilter"": 6}",11.799491300000227
37,classical/CSP+LDA,classical,3,0.6,0.6575000000000001,"{""csp__nfilter"": 4}",11.799491300000227
37,classical/CSP+LDA,classical,4,0.55,0.6475,"{""csp__nfilter"": 2}",11.799491300000227
37,classical/CSP+LDA,classical,5,0.55,0.6425,"{""csp__nfilter"": 6}",11.799491300000227
37,classical/CSP+LDA,classical,6,0.65,0.6675,"{""csp__nfilter"": 6}",11.799491300000227
37,classical/CSP+LDA,classical,7,0.7,0.8175,"{""csp__nfilter"": 6}",11.799491300000227
37,classical/CSP+LDA,classical,8,0.725,0.7749999999999999,"{""csp__nfilter"": 4}",11.799491300000227
37,classical/CSP+LDA,classical,9,0.625,0.7625000000000001,"{""csp__nfilter"": 4}",11.799491300000227
37,classical/CSP+LDA,classical,10,0.725,0.7975,"{""csp__nfilter"": 6}",11.799491300000227
37,classical/CSP+LDA,classical,11,0.65,0.715,"{""csp__nfilter"": 4}",11.799491300000227
37,classical/CSP+LDA,classical,12,0.725,0.77,"{""csp__nfilter"": 4}",11.799491300000227
37,classical/CSP+LDA,classical,13,0.675,0.755,"{""csp__nfilter"": 4}",11.799491300000227
37,classical/CSP+LDA,classical,14,0.625,0.72,"{""csp__nfilter"": 4}",11.799491300000227
37,classical/MDM,classical,0,0.675,0.7025,{},1.3966241000007358
37,classical/MDM,classical,1,0.7,0.785,{},1.3966241000007358
37,classical/MDM,classical,2,0.775,0.8049999999999999,{},1.3966241000007358
37,classical/MDM,classical,3,0.6,0.64,{},1.3966241000007358
37,classical/MDM,classical,4,0.55,0.6775,{},1.3966241000007358
37,classical/MDM,classical,5,0.7,0.7675000000000001,{},1.3966241000007358
37,classical/MDM,classical,6,0.625,0.5899999999999999,{},1.3966241000007358
37,classical/MDM,classical,7,0.65,0.76,{},1.3966241000007358
37,classical/MDM,classical,8,0.65,0.71,{},1.3966241000007358
37,classical/MDM,classical,9,0.65,0.7325,{},1.3966241000007358
37,classical/MDM,classical,10,0.75,0.8025,{},1.3966241000007358
37,classical/MDM,classical,11,0.7,0.72,{},1.3966241000007358
37,classical/MDM,classical,12,0.675,0.725,{},1.3966241000007358
37,classical/MDM,classical,13,0.625,0.7375,{},1.3966241000007358
37,classical/MDM,classical,14,0.525,0.6275,{},1.3966241000007358
37,classical/TS+LR,classical,0,0.65,0.7125,"{""clf__C"": 0.1}",13.376585800000612
37,classical/TS+LR,classical,1,0.775,0.8625,"{""clf__C"": 0.1}",13.376585800000612
37,classical/TS+LR,classical,2,0.55,0.6925,"{""clf__C"": 0.1}",13.376585800000612
37,classical/TS+LR,classical,3,0.55,0.6499999999999999,"{""clf__C"": 0.1}",13.376585800000612
37,classical/TS+LR,classical,4,0.65,0.6825,"{""clf__C"": 10.0}",13.376585800000612
37,classical/TS+LR,classical,5,0.575,0.585,"{""clf__C"": 10.0}",13.376585800000612
37,classical/TS+LR,classical,6,0.575,0.5825,"{""clf__C"": 0.1}",13.376585800000612
37,classical/TS+LR,classical,7,0.6,0.6875,"{""clf__C"": 0.1}",13.376585800000612
37,classical/TS+LR,classical,8,0.775,0.825,"{""clf__C"": 0.1}",13.376585800000612
37,classical/TS+LR,classical,9,0.675,0.7625,"{""clf__C"": 0.1}",13.376585800000612
37,classical/TS+LR,classical,10,0.7,0.805,"{""clf__C"": 0.1}",13.376585800000612
37,classical/TS+LR,classical,11,0.7,0.71,"{""clf__C"": 0.1}",13.376585800000612
37,classical/TS+LR,classical,12,0.725,0.85,"{""clf__C"": 0.1}",13.376585800000612
37,classical/TS+LR,classical,13,0.65,0.715,"{""clf__C"": 0.1}",13.376585800000612
37,classical/TS+LR,classical,14,0.725,0.7125,"{""clf__C"": 0.1}",13.376585800000612
37,classical/TS+RBF-SVM,classical,0,0.675,0.7175,"{""clf__C"": 1.0, ""clf__gamma"": ""scale""}",37.7468616999995
37,classical/TS+RBF-SVM,classical,1,0.775,0.8374999999999999,"{""clf__C"": 0.1, ""clf__gamma"": ""scale""}",37.7468616999995
37,classical/TS+RBF-SVM,classical,2,0.625,0.69,"{""clf__C"": 1.0, ""clf__gamma"": ""scale""}",37.7468616999995
37,classical/TS+RBF-SVM,classical,3,0.65,0.7425,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",37.7468616999995
37,classical/TS+RBF-SVM,classical,4,0.725,0.8325,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",37.7468616999995
37,classical/TS+RBF-SVM,classical,5,0.65,0.74,"{""clf__C"": 1.0, ""clf__gamma"": ""scale""}",37.7468616999995
37,classical/TS+RBF-SVM,classical,6,0.65,0.65,"{""clf__C"": 0.1, ""clf__gamma"": ""scale""}",37.7468616999995
37,classical/TS+RBF-SVM,classical,7,0.725,0.755,"{""clf__C"": 1.0, ""clf__gamma"": ""scale""}",37.7468616999995
37,classical/TS+RBF-SVM,classical,8,0.625,0.7975,"{""clf__C"": 1.0, ""clf__gamma"": ""scale""}",37.7468616999995
37,classical/TS+RBF-SVM,classical,9,0.7,0.7125000000000001,"{""clf__C"": 1.0, ""clf__gamma"": ""scale""}",37.7468616999995
37,classical/TS+RBF-SVM,classical,10,0.8,0.8524999999999999,"{""clf__C"": 1.0, ""clf__gamma"": ""scale""}",37.7468616999995
37,classical/TS+RBF-SVM,classical,11,0.7,0.7825,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",37.7468616999995
37,classical/TS+RBF-SVM,classical,12,0.725,0.825,"{""clf__C"": 1.0, ""clf__gamma"": ""scale""}",37.7468616999995
37,classical/TS+RBF-SVM,classical,13,0.65,0.6775,"{""clf__C"": 1.0, ""clf__gamma"": 0.1}",37.7468616999995
37,classical/TS+RBF-SVM,classical,14,0.675,0.7,"{""clf__C"": 1.0, ""clf__gamma"": ""scale""}",37.7468616999995
37,quantum/HS-overlap-SVM,quantum,0,0.65,0.6625000000000001,"{""clf__C"": 10.0}",12.565659199999573
37,quantum/HS-overlap-SVM,quantum,1,0.725,0.8375,"{""clf__C"": 10.0}",12.565659199999573
37,quantum/HS-overlap-SVM,quantum,2,0.675,0.7925,"{""clf__C"": 10.0}",12.565659199999573
37,quantum/HS-overlap-SVM,quantum,3,0.575,0.7025,"{""clf__C"": 10.0}",12.565659199999573
37,quantum/HS-overlap-SVM,quantum,4,0.6,0.7124999999999999,"{""clf__C"": 10.0}",12.565659199999573
37,quantum/HS-overlap-SVM,quantum,5,0.625,0.7050000000000001,"{""clf__C"": 10.0}",12.565659199999573
37,quantum/HS-overlap-SVM,quantum,6,0.55,0.615,"{""clf__C"": 10.0}",12.565659199999573
37,quantum/HS-overlap-SVM,quantum,7,0.625,0.705,"{""clf__C"": 10.0}",12.565659199999573
37,quantum/HS-overlap-SVM,quantum,8,0.625,0.7575000000000001,"{""clf__C"": 10.0}",12.565659199999573
37,quantum/HS-overlap-SVM,quantum,9,0.675,0.815,"{""clf__C"": 10.0}",12.565659199999573
37,quantum/HS-overlap-SVM,quantum,10,0.7,0.7825,"{""clf__C"": 10.0}",12.565659199999573
37,quantum/HS-overlap-SVM,quantum,11,0.575,0.7025,"{""clf__C"": 10.0}",12.565659199999573
37,quantum/HS-overlap-SVM,quantum,12,0.775,0.835,"{""clf__C"": 10.0}",12.565659199999573
37,quantum/HS-overlap-SVM,quantum,13,0.575,0.6475,"{""clf__C"": 10.0}",12.565659199999573
37,quantum/HS-overlap-SVM,quantum,14,0.7,0.775,"{""clf__C"": 10.0}",12.565659199999573
37,quantum/Fidelity-SVM,quantum,0,0.6,0.7075,"{""clf__C"": 10.0}",28.476590700000088
37,quantum/Fidelity-SVM,quantum,1,0.75,0.8400000000000001,"{""clf__C"": 10.0}",28.476590700000088
37,quantum/Fidelity-SVM,quantum,2,0.65,0.7675,"{""clf__C"": 10.0}",28.476590700000088
37,quantum/Fidelity-SVM,quantum,3,0.6,0.67,"{""clf__C"": 10.0}",28.476590700000088
37,quantum/Fidelity-SVM,quantum,4,0.75,0.7925,"{""clf__C"": 10.0}",28.476590700000088
37,quantum/Fidelity-SVM,quantum,5,0.6,0.6875,"{""clf__C"": 10.0}",28.476590700000088
37,quantum/Fidelity-SVM,quantum,6,0.575,0.6275,"{""clf__C"": 10.0}",28.476590700000088
37,quantum/Fidelity-SVM,quantum,7,0.675,0.7475,"{""clf__C"": 10.0}",28.476590700000088
37,quantum/Fidelity-SVM,quantum,8,0.7,0.7949999999999999,"{""clf__C"": 10.0}",28.476590700000088
37,quantum/Fidelity-SVM,quantum,9,0.7,0.8175,"{""clf__C"": 10.0}",28.476590700000088
37,quantum/Fidelity-SVM,quantum,10,0.7,0.825,"{""clf__C"": 10.0}",28.476590700000088
37,quantum/Fidelity-SVM,quantum,11,0.675,0.6849999999999999,"{""clf__C"": 10.0}",28.476590700000088
37,quantum/Fidelity-SVM,quantum,12,0.8,0.88,"{""clf__C"": 10.0}",28.476590700000088
37,quantum/Fidelity-SVM,quantum,13,0.65,0.7075,"{""clf__C"": 10.0}",28.476590700000088
37,quantum/Fidelity-SVM,quantum,14,0.725,0.755,"{""clf__C"": 10.0}",28.476590700000088
37,quantum/HS-RBF-SVM,quantum,0,0.6,0.7525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",33.62095080000017
37,quantum/HS-RBF-SVM,quantum,1,0.775,0.8675,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",33.62095080000017
37,quantum/HS-RBF-SVM,quantum,2,0.7,0.7324999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",33.62095080000017
37,quantum/HS-RBF-SVM,quantum,3,0.675,0.78,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",33.62095080000017
37,quantum/HS-RBF-SVM,quantum,4,0.6,0.6974999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",33.62095080000017
37,quantum/HS-RBF-SVM,quantum,5,0.65,0.65,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",33.62095080000017
37,quantum/HS-RBF-SVM,quantum,6,0.575,0.5974999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",33.62095080000017
37,quantum/HS-RBF-SVM,quantum,7,0.675,0.805,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",33.62095080000017
37,quantum/HS-RBF-SVM,quantum,8,0.65,0.77,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",33.62095080000017
37,quantum/HS-RBF-SVM,quantum,9,0.725,0.8075,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",33.62095080000017
37,quantum/HS-RBF-SVM,quantum,10,0.675,0.78,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",33.62095080000017
37,quantum/HS-RBF-SVM,quantum,11,0.6,0.7275,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",33.62095080000017
37,quantum/HS-RBF-SVM,quantum,12,0.75,0.81,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",33.62095080000017
37,quantum/HS-RBF-SVM,quantum,13,0.7,0.765,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",33.62095080000017
37,quantum/HS-RBF-SVM,quantum,14,0.75,0.8125,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",33.62095080000017
37,quantum/Bures-RBF-SVM,quantum,0,0.725,0.825,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",61.69172359999993
37,quantum/Bures-RBF-SVM,quantum,1,0.775,0.8474999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",61.69172359999993
37,quantum/Bures-RBF-SVM,quantum,2,0.725,0.8025000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",61.69172359999993
37,quantum/Bures-RBF-SVM,quantum,3,0.725,0.8075,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",61.69172359999993
37,quantum/Bures-RBF-SVM,quantum,4,0.675,0.7675000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",61.69172359999993
37,quantum/Bures-RBF-SVM,quantum,5,0.6,0.6699999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",61.69172359999993
37,quantum/Bures-RBF-SVM,quantum,6,0.6,0.65,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",61.69172359999993
37,quantum/Bures-RBF-SVM,quantum,7,0.75,0.8225,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",61.69172359999993
37,quantum/Bures-RBF-SVM,quantum,8,0.7,0.84,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",61.69172359999993
37,quantum/Bures-RBF-SVM,quantum,9,0.7,0.79,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",61.69172359999993
37,quantum/Bures-RBF-SVM,quantum,10,0.725,0.875,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",61.69172359999993
37,quantum/Bures-RBF-SVM,quantum,11,0.65,0.7,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",61.69172359999993
37,quantum/Bures-RBF-SVM,quantum,12,0.825,0.85,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",61.69172359999993
37,quantum/Bures-RBF-SVM,quantum,13,0.675,0.73,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",61.69172359999993
37,quantum/Bures-RBF-SVM,quantum,14,0.75,0.7525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",61.69172359999993
37,quantum/HS-overlap-ref-SVM,quantum,0,0.65,0.73,"{""clf__C"": 10.0}",12.394969099999798
37,quantum/HS-overlap-ref-SVM,quantum,1,0.8,0.8624999999999999,"{""clf__C"": 10.0}",12.394969099999798
37,quantum/HS-overlap-ref-SVM,quantum,2,0.6,0.72,"{""clf__C"": 10.0}",12.394969099999798
37,quantum/HS-overlap-ref-SVM,quantum,3,0.6,0.7224999999999999,"{""clf__C"": 10.0}",12.394969099999798
37,quantum/HS-overlap-ref-SVM,quantum,4,0.7,0.7250000000000001,"{""clf__C"": 10.0}",12.394969099999798
37,quantum/HS-overlap-ref-SVM,quantum,5,0.675,0.73,"{""clf__C"": 10.0}",12.394969099999798
37,quantum/HS-overlap-ref-SVM,quantum,6,0.575,0.5925,"{""clf__C"": 10.0}",12.394969099999798
37,quantum/HS-overlap-ref-SVM,quantum,7,0.675,0.7525,"{""clf__C"": 10.0}",12.394969099999798
37,quantum/HS-overlap-ref-SVM,quantum,8,0.75,0.835,"{""clf__C"": 10.0}",12.394969099999798
37,quantum/HS-overlap-ref-SVM,quantum,9,0.65,0.78,"{""clf__C"": 10.0}",12.394969099999798
37,quantum/HS-overlap-ref-SVM,quantum,10,0.725,0.8324999999999999,"{""clf__C"": 10.0}",12.394969099999798
37,quantum/HS-overlap-ref-SVM,quantum,11,0.7,0.7225,"{""clf__C"": 10.0}",12.394969099999798
37,quantum/HS-overlap-ref-SVM,quantum,12,0.775,0.8550000000000001,"{""clf__C"": 10.0}",12.394969099999798
37,quantum/HS-overlap-ref-SVM,quantum,13,0.65,0.7325,"{""clf__C"": 10.0}",12.394969099999798
37,quantum/HS-overlap-ref-SVM,quantum,14,0.625,0.72,"{""clf__C"": 10.0}",12.394969099999798
37,quantum/Fidelity-ref-SVM,quantum,0,0.625,0.7025,"{""clf__C"": 10.0}",28.56581989999995
37,quantum/Fidelity-ref-SVM,quantum,1,0.75,0.8375,"{""clf__C"": 10.0}",28.56581989999995
37,quantum/Fidelity-ref-SVM,quantum,2,0.675,0.7349999999999999,"{""clf__C"": 10.0}",28.56581989999995
37,quantum/Fidelity-ref-SVM,quantum,3,0.65,0.7050000000000001,"{""clf__C"": 10.0}",28.56581989999995
37,quantum/Fidelity-ref-SVM,quantum,4,0.7,0.7675000000000001,"{""clf__C"": 10.0}",28.56581989999995
37,quantum/Fidelity-ref-SVM,quantum,5,0.65,0.7125,"{""clf__C"": 10.0}",28.56581989999995
37,quantum/Fidelity-ref-SVM,quantum,6,0.625,0.6224999999999999,"{""clf__C"": 10.0}",28.56581989999995
37,quantum/Fidelity-ref-SVM,quantum,7,0.65,0.7775,"{""clf__C"": 10.0}",28.56581989999995
37,quantum/Fidelity-ref-SVM,quantum,8,0.7,0.83,"{""clf__C"": 10.0}",28.56581989999995
37,quantum/Fidelity-ref-SVM,quantum,9,0.7,0.7725,"{""clf__C"": 10.0}",28.56581989999995
37,quantum/Fidelity-ref-SVM,quantum,10,0.725,0.85,"{""clf__C"": 10.0}",28.56581989999995
37,quantum/Fidelity-ref-SVM,quantum,11,0.725,0.74,"{""clf__C"": 10.0}",28.56581989999995
37,quantum/Fidelity-ref-SVM,quantum,12,0.775,0.8500000000000001,"{""clf__C"": 10.0}",28.56581989999995
37,quantum/Fidelity-ref-SVM,quantum,13,0.65,0.73,"{""clf__C"": 10.0}",28.56581989999995
37,quantum/Fidelity-ref-SVM,quantum,14,0.675,0.7375,"{""clf__C"": 10.0}",28.56581989999995
37,quantum/HS-RBF-ref-SVM,quantum,0,0.675,0.7324999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",33.109830800000054
37,quantum/HS-RBF-ref-SVM,quantum,1,0.775,0.8674999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",33.109830800000054
37,quantum/HS-RBF-ref-SVM,quantum,2,0.675,0.745,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",33.109830800000054
37,quantum/HS-RBF-ref-SVM,quantum,3,0.675,0.7075,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",33.109830800000054
37,quantum/HS-RBF-ref-SVM,quantum,4,0.775,0.77,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",33.109830800000054
37,quantum/HS-RBF-ref-SVM,quantum,5,0.6,0.7275,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",33.109830800000054
37,quantum/HS-RBF-ref-SVM,quantum,6,0.6,0.6475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",33.109830800000054
37,quantum/HS-RBF-ref-SVM,quantum,7,0.725,0.7775,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",33.109830800000054
37,quantum/HS-RBF-ref-SVM,quantum,8,0.825,0.8274999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",33.109830800000054
37,quantum/HS-RBF-ref-SVM,quantum,9,0.65,0.725,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",33.109830800000054
37,quantum/HS-RBF-ref-SVM,quantum,10,0.75,0.8075000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",33.109830800000054
37,quantum/HS-RBF-ref-SVM,quantum,11,0.675,0.7375,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",33.109830800000054
37,quantum/HS-RBF-ref-SVM,quantum,12,0.8,0.8875,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",33.109830800000054
37,quantum/HS-RBF-ref-SVM,quantum,13,0.625,0.6950000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",33.109830800000054
37,quantum/HS-RBF-ref-SVM,quantum,14,0.725,0.75,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",33.109830800000054
37,quantum/Bures-RBF-ref-SVM,quantum,0,0.65,0.73,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",73.56170920000022
37,quantum/Bures-RBF-ref-SVM,quantum,1,0.75,0.8525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",73.56170920000022
37,quantum/Bures-RBF-ref-SVM,quantum,2,0.65,0.7675,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",73.56170920000022
37,quantum/Bures-RBF-ref-SVM,quantum,3,0.75,0.75,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",73.56170920000022
37,quantum/Bures-RBF-ref-SVM,quantum,4,0.725,0.7774999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",73.56170920000022
37,quantum/Bures-RBF-ref-SVM,quantum,5,0.6,0.7625000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",73.56170920000022
37,quantum/Bures-RBF-ref-SVM,quantum,6,0.6,0.665,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",73.56170920000022
37,quantum/Bures-RBF-ref-SVM,quantum,7,0.75,0.7925,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",73.56170920000022
37,quantum/Bures-RBF-ref-SVM,quantum,8,0.75,0.8125,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",73.56170920000022
37,quantum/Bures-RBF-ref-SVM,quantum,9,0.7,0.7450000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",73.56170920000022
37,quantum/Bures-RBF-ref-SVM,quantum,10,0.75,0.82,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",73.56170920000022
37,quantum/Bures-RBF-ref-SVM,quantum,11,0.675,0.7424999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",73.56170920000022
37,quantum/Bures-RBF-ref-SVM,quantum,12,0.825,0.905,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",73.56170920000022
37,quantum/Bures-RBF-ref-SVM,quantum,13,0.625,0.73,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",73.56170920000022
37,quantum/Bures-RBF-ref-SVM,quantum,14,0.7,0.755,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",73.56170920000022
37,quantum/QRE-RBF-SVM,quantum,0,0.725,0.8099999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",36.193812000000435
37,quantum/QRE-RBF-SVM,quantum,1,0.775,0.86,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",36.193812000000435
37,quantum/QRE-RBF-SVM,quantum,2,0.725,0.795,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",36.193812000000435
37,quantum/QRE-RBF-SVM,quantum,3,0.725,0.7875,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",36.193812000000435
37,quantum/QRE-RBF-SVM,quantum,4,0.65,0.725,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",36.193812000000435
37,quantum/QRE-RBF-SVM,quantum,5,0.625,0.6799999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",36.193812000000435
37,quantum/QRE-RBF-SVM,quantum,6,0.6,0.6625000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",36.193812000000435
37,quantum/QRE-RBF-SVM,quantum,7,0.775,0.8175,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",36.193812000000435
37,quantum/QRE-RBF-SVM,quantum,8,0.675,0.82,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",36.193812000000435
37,quantum/QRE-RBF-SVM,quantum,9,0.7,0.785,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",36.193812000000435
37,quantum/QRE-RBF-SVM,quantum,10,0.75,0.83,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",36.193812000000435
37,quantum/QRE-RBF-SVM,quantum,11,0.725,0.7675000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",36.193812000000435
37,quantum/QRE-RBF-SVM,quantum,12,0.825,0.8374999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",36.193812000000435
37,quantum/QRE-RBF-SVM,quantum,13,0.65,0.7475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",36.193812000000435
37,quantum/QRE-RBF-SVM,quantum,14,0.725,0.78,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",36.193812000000435
37,quantum/QRE-RBF-ref-SVM,quantum,0,0.65,0.73,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",40.01145439999982
37,quantum/QRE-RBF-ref-SVM,quantum,1,0.75,0.8525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",40.01145439999982
37,quantum/QRE-RBF-ref-SVM,quantum,2,0.675,0.7625,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",40.01145439999982
37,quantum/QRE-RBF-ref-SVM,quantum,3,0.75,0.7474999999999999,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",40.01145439999982
37,quantum/QRE-RBF-ref-SVM,quantum,4,0.725,0.7725,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",40.01145439999982
37,quantum/QRE-RBF-ref-SVM,quantum,5,0.6,0.75,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",40.01145439999982
37,quantum/QRE-RBF-ref-SVM,quantum,6,0.6,0.665,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",40.01145439999982
37,quantum/QRE-RBF-ref-SVM,quantum,7,0.725,0.7875,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",40.01145439999982
37,quantum/QRE-RBF-ref-SVM,quantum,8,0.75,0.815,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",40.01145439999982
37,quantum/QRE-RBF-ref-SVM,quantum,9,0.7,0.7475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}",40.01145439999982
37,quantum/QRE-RBF-ref-SVM,quantum,10,0.75,0.82,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",40.01145439999982
37,quantum/QRE-RBF-ref-SVM,quantum,11,0.675,0.7375,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",40.01145439999982
37,quantum/QRE-RBF-ref-SVM,quantum,12,0.85,0.9175,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",40.01145439999982
37,quantum/QRE-RBF-ref-SVM,quantum,13,0.625,0.73,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",40.01145439999982
37,quantum/QRE-RBF-ref-SVM,quantum,14,0.725,0.7575000000000001,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}",40.01145439999982
37,quantum/IQP-kernel-SVM,quantum,0,0.375,0.39250000000000007,"{""clf__C"": 10.0, ""clf__scale"": 2.0}",39.504466699999284
